code,regency_code,coordinate,is_populated,is_outermost_small,name
110140001,1101,03°19'03.44" N 097°07'41.73" E,0,0,Pulau Batukapal
110140002,1101,03°24'55.00" N 097°04'21.00" E,0,0,Pulau Batutunggal
110140003,1101,02°52'54.99" N 097°31'07.00" E,0,0,Pulau Kayee
110140004,1101,02°54'25.11" N 097°26'18.51" E,0,0,Pulau Mangki
110140005,1101,02°53'16.00" N 097°30'54.00" E,0,0,Pulau Tengku
110140006,1101,02°48'34.67" N 097°35'36.51" E,0,0,Pulau Trumon
110340001,1103,04°36'48.74" N 098°00'31.21" E,0,0,Pulau Bangka Matee
110340002,1103,05°09'12.80" N 097°34'56.08" E,0,0,Pulau Gosongsungaibelah
110340003,1103,04°36'19.18" N 098°01'02.04" E,0,0,Pulau Krueng Beukah
110340004,1103,04°41'35.16" N 097°57'59.15" E,0,0,Pulau Kuala Parek
110340005,1103,05°06'37.00" N 097°37'35.00" E,1,0,Pulau Nebukserdang
110340006,1103,04°38'21.32" N 097°59'38.64" E,0,0,Pulau Pusong Broh
110340007,1103,04°35'50.74" N 097°57'59.07" E,0,0,Pulau Pusong Brooh
110340008,1103,04°35'38.25" N 098°01'09.57" E,0,0,Pulau Ujongperleng
110640001,1106,05°37'02.48" N 095°31'56.11" E,0,0,Pulau Amad Rangmanyang
110640002,1106,05°39'49.90" N 095°06'32.62" E,0,0,Pulau Baeet
110640003,1106,05°45'14.15" N 095°03'23.05" E,0,0,Pulau Bateebeukah
110640004,1106,05°34'41.99" N 095°13'09.99" E,0,0,Pulau Bateecut
110640005,1106,05°21'03.38" N 095°13'06.63" E,0,0,Pulau Bateedua Selatan
110640006,1106,05°21'27.35" N 095°13'49.55" E,0,0,Pulau Bateedua Utara
110640007,1106,05°47'34.72" N 094°58'26.09" E,0,1,Pulau Bateeleblah
110640008,1106,05°34'44.80" N 095°12'55.02" E,0,0,Pulau Bateelumpat
110640009,1106,05°26'03.54" N 095°13'52.10" E,0,0,Pulau Bateepantee Lhok Nga
110640010,1106,05°34'45.99" N 095°12'00.00" E,0,0,Pulau Bateerayeuk
110640011,1106,05°18'30.91" N 095°12'23.65" E,0,0,Pulau Bateetamon Rayeuk
110640012,1106,05°18'15.13" N 095°12'32.06" E,0,0,Pulau Bateetamon Selatan
110640013,1106,05°18'20.39" N 095°12'26.14" E,0,0,Pulau Bateetamon Tengoh
110640014,1106,05°18'23.17" N 095°12'26.59" E,0,0,Pulau Bateetamon Utara
110640015,1106,05°18'46.10" N 095°12'12.46" E,0,0,Pulau Bateeujong Lhok Paro
110640016,1106,05°18'43.47" N 095°13'11.78" E,0,0,Pulau Bateeujong Lhok Tuleot
